01/01/2011	2274
01/02/2011	993
01/03/2011	1133
01/04/2011	1295
01/05/2011	1362
01/06/2011	1351
01/07/2011	1323
01/08/2011	1183
01/09/2011	1008
01/10/2011	1184
01/11/2011	1293
01/12/2011	1041
01/13/2011	1248
01/14/2011	1351
01/15/2011	1389
01/16/2011	1117
01/17/2011	1083
01/18/2011	1214
01/19/2011	1385
01/20/2011	1414
01/21/2011	1368
01/22/2011	1217
01/23/2011	1031
01/24/2011	1066
01/25/2011	1227
01/26/2011	1069
01/27/2011	943
01/28/2011	1242
01/29/2011	1197
01/30/2011	1070
01/31/2011	1098
02/01/2011	1495
02/02/2011	1158
02/03/2011	1317
02/04/2011	1448
02/05/2011	1270
02/06/2011	1101
02/07/2011	1206
02/08/2011	1215
02/09/2011	1328
02/10/2011	1397
02/11/2011	1518
02/12/2011	1361
02/13/2011	1130
02/14/2011	1232
02/15/2011	1423
02/16/2011	1447
02/17/2011	1486
02/18/2011	1562
02/19/2011	1290
02/20/2011	1127
02/21/2011	1067
02/22/2011	1229
02/23/2011	1248
02/24/2011	1258
02/25/2011	1315
02/26/2011	1348
02/27/2011	1225
02/28/2011	1179
03/01/2011	1675
03/02/2011	1431
03/03/2011	1318
03/04/2011	1498
03/05/2011	1440
03/06/2011	1073
03/07/2011	1158
03/08/2011	1350
03/09/2011	1392
03/10/2011	1298
03/11/2011	1565
03/12/2011	1500
03/13/2011	1156
03/14/2011	1235
03/15/2011	1476
03/16/2011	1327
03/17/2011	1379
03/18/2011	1569
03/19/2011	1399
03/20/2011	1230
03/21/2011	1139
03/22/2011	1391
03/23/2011	1255
03/24/2011	1353
03/25/2011	1504
03/26/2011	1251
03/27/2011	1126
03/28/2011	1231
03/29/2011	1185
03/30/2011	1351
03/31/2011	1303
04/01/2011	1677
04/02/2011	1434
04/03/2011	1242
04/04/2011	1280
04/05/2011	1363
04/06/2011	1446
04/07/2011	1452
04/08/2011	1464
04/09/2011	1467
04/10/2011	1231
04/11/2011	1331
04/12/2011	1278
04/13/2011	1337
04/14/2011	1545
04/15/2011	1605
04/16/2011	1210
04/17/2011	1186
04/18/2011	1291
04/19/2011	1238
04/20/2011	1405
04/21/2011	1380
04/22/2011	1393
04/23/2011	1281
04/24/2011	1142
04/25/2011	1198
04/26/2011	1368
04/27/2011	1417
04/28/2011	1349
04/29/2011	1510
04/30/2011	1354
05/01/2011	1469
05/02/2011	1278
05/03/2011	1454
05/04/2011	1313
05/05/2011	1374
05/06/2011	1542
05/07/2011	1361
05/08/2011	1166
05/09/2011	1374
05/10/2011	1543
05/11/2011	1536
05/12/2011	1550
05/13/2011	1605
05/14/2011	1332
05/15/2011	1251
05/16/2011	1267
05/17/2011	1294
05/18/2011	1419
05/19/2011	1507
05/20/2011	1647
05/21/2011	1443
05/22/2011	1243
05/23/2011	1316
05/24/2011	1470
05/25/2011	1513
05/26/2011	1458
05/27/2011	1592
05/28/2011	1420
05/29/2011	1225
05/30/2011	1242
05/31/2011	1351
06/01/2011	1934
06/02/2011	1436
06/03/2011	1578
06/04/2011	1537
06/05/2011	1283
06/06/2011	1280
06/07/2011	1454
06/08/2011	1442
06/09/2011	1326
06/10/2011	1526
06/11/2011	1355
06/12/2011	1308
06/13/2011	1333
06/14/2011	1434
06/15/2011	1626
06/16/2011	1534
06/17/2011	1453
06/18/2011	1433
06/19/2011	1338
06/20/2011	1397
06/21/2011	1486
06/22/2011	1496
06/23/2011	1463
06/24/2011	1522
06/25/2011	1549
06/26/2011	1346
06/27/2011	1381
06/28/2011	1552
06/29/2011	1428
06/30/2011	1444
07/01/2011	1774
07/02/2011	1439
07/03/2011	1233
07/04/2011	1409
07/05/2011	1553
07/06/2011	1404
07/07/2011	1429
07/08/2011	1466
07/09/2011	1375
07/10/2011	1396
07/11/2011	1319
07/12/2011	1616
07/13/2011	1491
07/14/2011	1548
07/15/2011	1654
07/16/2011	1451
07/17/2011	1364
07/18/2011	1321
07/19/2011	1411
07/20/2011	1511
07/21/2011	1454
07/22/2011	1442
07/23/2011	1382
07/24/2011	1373
07/25/2011	1337
07/26/2011	1488
07/27/2011	1501
07/28/2011	1453
07/29/2011	1410
07/30/2011	1458
07/31/2011	1315
08/01/2011	1665
08/02/2011	1398
08/03/2011	1388
08/04/2011	1453
08/05/2011	1534
08/06/2011	1393
08/07/2011	1286
08/08/2011	1277
08/09/2011	1338
08/10/2011	1533
08/11/2011	1523
08/12/2011	1508
08/13/2011	1470
08/14/2011	1034
08/15/2011	1561
08/16/2011	1365
08/17/2011	1403
08/18/2011	1368
08/19/2011	1461
08/20/2011	1517
08/21/2011	1290
08/22/2011	1510
08/23/2011	1429
08/24/2011	1434
08/25/2011	1403
08/26/2011	1416
08/27/2011	1021
08/28/2011	738
08/29/2011	1343
08/30/2011	1431
08/31/2011	1348
09/01/2011	1761
09/02/2011	1453
09/03/2011	1428
09/04/2011	1308
09/05/2011	1296
09/06/2011	1135
09/07/2011	1165
09/08/2011	1341
09/09/2011	1510
09/10/2011	1392
09/11/2011	1183
09/12/2011	1256
09/13/2011	1361
09/14/2011	1460
09/15/2011	1412
09/16/2011	1465
09/17/2011	1280
09/18/2011	1171
09/19/2011	1300
